form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
སྐྱེ་	སྐྱེ་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
སྔོན་ཚེ་	སྔོན་ཚེ་	NO_POS
འཕགས་ཡུལ་	འཕགས་ཡུལ་	NOUN
དགྲ་བཅོམ་	དགྲ་བཅོམ་	NOUN
ས་	ས་	ADP
གི་	གི་	PART
ལྷ་	ལྷ་	NOUN
།		PUNCT
		
།		PUNCT
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
སྤྱན་སྔ་	སྤྱན་སྔ་	PROPN
ར་	ལ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
བདུད་	བདུད་	NOUN
འཇོམས་	འཇོམས་	NO_POS
རྗེ་	རྗེ་	NO_POS
།		PUNCT
		
།		PUNCT
ས་སྐྱ་	ས་སྐྱ་	PROPN
གོང་	གོང་	NOUN
དུ་	ལ་	PART
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
དཔལ་	དཔལ་	OTHER
།		PUNCT
		
།		PUNCT
དགེ་	དགེ་	NOUN
ལྡན་	ལྡན་	VERB
གླིང་	གླིང་	NOUN
དུ་	ལ་	PART
དགེ་ལེགས་	དགེ་ལེགས་	OTHER
དཔལ་	དཔལ་	OTHER
བཟང་	བཟང་	VERB
ཞབས་	ཞབས་	NOUN
།		PUNCT
		
།		PUNCT
མི་	མི་	PART
ཉག་	ཉག་	NOUN
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
ཆོས་གྲགས་	ཆོས་གྲགས་	PROPN
སོགས་	སོགས་	DET
།		PUNCT
		
།		PUNCT
མཁའ་	མཁའ་	VERB
དང་	དང་	NO_POS
གྲུབ་བརྙེས་	གྲུབ་བརྙེས་	OTHER
དུ་མ་	དུ་མ་	ADJ
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
བཟུང་	བཟུང་	NO_POS
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
ཐུབ་བསྟན་	ཐུབ་བསྟན་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
མཛད་	མཛད་	VERB
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
ད་ལྟ་	ད་ལྟ་	OTHER
བཤེས་གཉེན་	བཤེས་གཉེན་	NOUN
མང་པོ་	མང་པོ་	ADJ
ས་	གིས་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
བཟུང་	བཟུང་	NO_POS
།		PUNCT
		
།		PUNCT
ཐོས་བསམ་	ཐོས་བསམ་	NOUN
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
སྦྱང་བ་	སྦྱང་བ་	VERB
གནད་	གནད་	NOUN
དུ་	ལ་	PART
བསྣུན་	བསྣུན་	NO_POS
།		PUNCT
		
།		PUNCT
མི་	མི་	PART
ཕམ་	ཕམ་	NO_POS
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་	སྙིང་	NOUN
ལ་	ལ་	PART
ཞུགས་	ཞུགས་	VERB
།		PUNCT
		
།		PUNCT
བགྲང་	བགྲང་	VERB
ཡ་		
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
མཛད་	མཛད་	VERB
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
མ་འོངས་	མ་འོངས་	NOUN
རིགས་ལྡན་	རིགས་ལྡན་	PROPN
དྲག་པོ་	དྲག་པོ་	ADJ
འི་	གི་	PART
དམག་དཔོན་	དམག་དཔོན་	NOUN
མཆོག་	མཆོག་	ADJ
		
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
ཡི་	གིས་	PART
།		PUNCT
		
།		PUNCT
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
སྲིད་	སྲིད་	NOUN
དུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
།		PUNCT
		
།		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
གཅིག་	གཅིག་	NUM
བླ་མ་	བླ་མ་	NOUN
རྗེ་	རྗེ་	NO_POS
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
རང་དོན་	རང་དོན་	NOUN
ཐོས་བསམ་	ཐོས་བསམ་	NOUN
སྒོམ་པ་	སྒོམ་པ་	VERB
མཐའ་	མཐའ་	NOUN
རུ་	ལ་	PART
འཁྱོལ་	འཁྱོལ་	NO_POS
།		PUNCT
		
།		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
འཆད་	འཆད་	VERB
རྩོད་	རྩོད་	VERB
རྩོམ་པ་	རྩོམ་པ་	VERB
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
རྒྱ་	རྒྱ་	VERB
།		PUNCT
		
།		PUNCT
གཉིས་	གཉིས་	NUM
དོན་	དོན་	NOUN
བཤད་སྒྲུབ་	བཤད་སྒྲུབ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
སྲོལ་	སྲོལ་	NOUN
བཏོད་	བཏོད་	NO_POS
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
འདྲེན་	འདྲེན་	NO_POS
མཆོག་	མཆོག་	ADJ
ཁྱེད་	ཁྱེད་	PRON
དང་	དང་	NO_POS
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཤོག་	ཤོག་	VERB
		
།		PUNCT
ཅེས་	ཅེས་	PART
རང་	རང་	PRON
ལ་	ལ་	PART
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
སྐྱེ་	སྐྱེ་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
འདི་འདྲ་	འདི་འདྲ་	NO_POS
ཞིག་	ཅིག་	PART
མེད་	མེད་	VERB
ངེས་	ངེས་	VERB
ལགས་	ལགས་	AUX
མོད་	མོད་	VERB
།		PUNCT
		
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
གཏེར་སྟོན་	གཏེར་སྟོན་	OTHER
ཞིག་	ཅིག་	PART
གིས་	གིས་	PART
བདག་	བདག་	PRON
ལ་	ལ་	PART
ངོ་བསྟོད་	ངོ་བསྟོད་	NO_POS
ཀྱི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
དུ་	ལ་	PART
